class Node(object, object):
        inorder(Tree.getLeft(, Tree.getLeft())
        inorder(Tree.getRight(, Tree.getRight())
        preorder(Tree.getLeft(, Tree.getLeft())
        preorder(Tree.getRight(, Tree.getRight())
        postorder(Tree.getLeft(, Tree.getLeft())
        postorder(Tree.getRight(, Tree.getRight())
    root = Node(1, 1)
    root.setLeft(Node(2, Node(2))
    root.setRight(Node(3, Node(3))
    root.left.setLeft(Node(4, Node(4))
    inorder(root, root)
    preorder(root, root)
    postorder(root, root)
